SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
1,63,1653,576000,1653,575999.999996647,0.000301708350889,5153.66840553,1.77176130104,-2.03728834211,-2.88543635184,0.960714536657,-7.8396122656e-09,4.39839749662e-09,-4.64305054455e-10,-5.40167093277e-07,9.78447496891e-06,192.0625,-6.90625,5.40167093277e-08,1.49011611938e-08,-2.90526077151e-06,-1.5916157281e-12,0,7.91624188423e-09
2,0,1653,576000,1653,575999.999996647,0.0104998731986,5153.57028198,-2.93264408042,0.481745606113,-2.89370080324,0.939312340666,-8.28677393372e-09,5.06449682192e-09,-4.90377571882e-10,-3.81842255592e-07,9.25548374653e-06,188.96875,-7.65625,1.78813934326e-07,1.43423676491e-07,0.000356539152563,1.81898940355e-12,0,-1.72294676304e-08
3,0,1653,576000,1653,575999.999996647,0.0148006562376,5153.66838646,1.13456471197,0.673207542048,2.22992546793,0.92934855192,-8.91287125686e-09,5.79738434147e-09,-7.32173355102e-11,-1.4528632164e-07,5.65871596336e-06,256.5625,-7.21875,-1.43423676491e-07,1.11758708954e-07,0.000769544858485,5.11590769747e-12,0,-4.65661287308e-09
4,0,1653,576000,1653,575999.999996647,0.00979461753741,5153.70875549,0.765150635481,-2.56252663877,-2.87649315179,0.938391809705,-8.01390509508e-09,4.90234697281e-09,-3.59300672548e-10,-3.70666384697e-07,9.86270606518e-06,176.28125,-5.90625,1.30385160446e-07,-1.30385160446e-07,0.000234061852097,1.12549969344e-11,0,-6.51925802231e-09
5,0,1653,576000,1653,575999.999996647,0.00240855675656,5153.75914192,0.15031200775,2.55191303644,-1.8315453677,0.952965784359,-8.09926614664e-09,4.57054749603e-09,7.92890197943e-11,5.27128577232e-06,8.28504562378e-06,216.65625,103.125,7.45058059692e-09,-9.31322574616e-09,-0.000219519250095,-5.22959453519e-12,0,-1.02445483208e-08
6,0,1653,576000,1653,575999.999996647,0.00667888985481,5153.70300102,-0.684595485933,2.66013079214,2.30451105883,0.936449424614,-8.47749597888e-09,5.51094383865e-09,-1.85722021782e-11,-5.25265932083e-07,5.39608299732e-06,260.96875,-13.40625,7.63684511185e-08,2.29105353355e-07,-6.86482526362e-05,8.98126018001e-12,0,-4.65661287308e-09
7,0,1653,576000,1653,575999.999996647,0.00498761527706,5153.6396141,-3.07785938984,-0.990155309497,0.275633376551,0.975378164781,-7.89140013706e-09,4.08874174108e-09,1.17862052285e-11,-3.78862023354e-06,7.85477459431e-06,231.875,-70.59375,4.47034835815e-08,-2.98023223877e-08,2.72113829851e-05,1.81898940355e-12,0,-1.07102096081e-08
8,0,1653,575984,1653,575984.000002965,0.0120829733787,5153.75398254,-3.03555580445,-1.48381599716,0.353495323173,0.99721797516,-7.59674500635e-09,3.5447905119e-09,1.48577617426e-10,-4.26545739174e-06,8.83638858795e-06,225,-75.6875,5.21540641785e-08,-1.210719347e-07,9.18377190828e-06,1.13686837722e-13,0,-4.19095158577e-09
9,0,1653,576000,1653,575999.999996647,0.0172547543189,5153.6630516,1.59915823412,-1.68984899069,0.248049232543,0.98424484104,-7.74282238325e-09,3.89159060532e-09,-7.21458656705e-11,-3.28570604324e-06,7.61263072491e-06,244.3125,-71.5,1.56462192535e-07,4.22820448875e-07,0.000106164719909,2.38742359215e-12,0,-5.58793544769e-09
10,0,1653,576000,1653,575999.999996647,0.0104232459562,5153.64006996,0.707129491902,2.79402599319,-1.80850685541,0.947879153829,-7.99211861811e-09,4.52197407266e-09,1.56077929844e-10,5.35324215889e-06,7.77095556259e-06,222.78125,106,2.79396772385e-08,-1.26659870148e-07,-1.34422443807e-05,-1.13686837722e-12,0,-2.32830643654e-09
11,0,1653,575984,1653,575984.000002965,0.0122888922924,5153.66743088,0.970424675889,-0.823111764309,-3.13668684559,0.888380746795,-8.99073164292e-09,6.35883629963e-09,-4.94306304127e-10,-1.29453837872e-06,7.7523291111e-06,189.28125,-25.09375,-1.86264514923e-09,3.03611159325e-07,-0.000186732504517,-3.41060513165e-12,0,-1.16415321827e-08
