SVID,health,we,te,wc,tc,e,sqrta,omega0,M0,L0,i0,dOdt,dn,didt,Cuc,Cus,Crc,Crs,Cic,Cis,af0,af1,af2,TGD
1,0,1758,223200,1758,223200.000003353,0.00233364396263,5153.69880867,0.37476292046,-0.64916996058,2.81482714928,0.960874263904,-7.87997108957e-09,4.20588947789e-09,-1.12861844006e-10,-1.79931521416e-06,1.28168612719e-05,134.15625,-32.375,5.40167093277e-08,1.86264514923e-08,7.57216475904e-05,4.09272615798e-12,0,8.38190317154e-09
2,0,1758,223200,1758,223200.000003353,0.012599737267,5153.73667335,-2.55936313986,0.17101552138,2.79073373555,0.939370774003,-8.33963298419e-09,4.81020023813e-09,-8.35749108807e-11,-1.44168734551e-06,1.3330951333e-05,112.78125,-28.09375,9.49949026108e-08,2.32830643654e-07,0.000451747328043,1.70530256582e-12,0,-1.72294676304e-08
3,0,1758,223184,1758,223183.999999613,0.0167180979624,5153.72007752,1.33438973071,0.325986477022,1.61925340498,0.935265201207,-9.18645408126e-09,5.72345269049e-09,-3.6430088888e-10,-3.0230730772e-06,3.13110649586e-06,307.75,-61.28125,-1.97440385819e-07,7.45058059692e-09,0.000260709319264,5.00222085975e-12,0,-4.65661287308e-09
4,0,1758,223200,1758,223200.000003353,0.0105515266769,5153.6178875,1.02214954879,-2.84902292961,2.80704313627,0.938413045424,-7.92782994807e-09,4.607334958e-09,8.92894352206e-12,-1.64844095707e-06,1.39344483614e-05,96.125,-29.8125,9.12696123123e-08,-7.82310962677e-08,7.92555510998e-07,6.8212102633e-13,0,-6.053596735e-09
5,0,1758,223200,1758,223200.000003353,0.00325504480861,5153.69978523,0.271248032375,2.44381310123,-2.42695209262,0.948309621862,-8.46713810176e-09,5.11842745965e-09,4.83234396942e-10,3.70666384697e-06,6.45965337753e-06,250.125,72,7.45058059692e-09,-1.30385160446e-08,-0.00039960257709,1.13686837722e-13,0,-9.77888703346e-09
6,0,1758,223200,1758,223200.000003353,0.00809849658981,5153.6780796,-0.228148449859,2.14809278128,1.69961629052,0.941854154978,-8.72929218149e-09,5.45737017852e-09,-4.1966033768e-10,-3.756955266e-06,3.1553208828e-06,308.8125,-75.34375,5.77419996262e-08,1.63912773132e-07,5.83324581385e-05,1.89857018995e-11,0,-5.12227416039e-09
7,0,1758,223200,1758,223200.000003353,0.00693407177459,5153.6716156,-2.88019082207,-1.21973069258,-0.307794246603,0.975235563916,-7.67424823467e-09,3.94159275459e-09,4.25017703693e-11,1.39325857163e-06,1.26026570797e-05,142.21875,30.25,8.56816768646e-08,-9.87201929092e-08,0.000259632710367,4.2064129957e-12,0,-1.07102096081e-08
8,0,1758,223200,1758,223200.000003353,0.0134391181637,5153.69575501,-2.83662881846,-1.78908382812,-0.21408912686,0.99817895288,-7.36173521725e-09,3.43228582562e-09,2.5786788409e-10,1.77510082722e-06,1.2906268239e-05,150.5,42.15625,4.842877388e-08,-1.47148966789e-07,8.50576907396e-06,2.27373675443e-13,0,-3.72529029846e-09
9,0,1758,223200,1758,223200.000003353,0.0168698875932,5153.72177315,1.72649600728,-0.043386133058,-0.330179150498,0.983824433494,-7.8781853009e-09,3.82765943738e-09,-2.60725145963e-11,8.81031155586e-07,1.28783285618e-05,149.65625,22.375,-2.79396772385e-07,-6.89178705216e-08,0.00026911823079,2.72848410532e-12,0,-5.58793544769e-09
10,0,1758,223200,1758,223200.000003353,0.0127697841963,5153.65748406,0.816692475388,2.67195394099,-2.4081935037,0.943111689599,-8.33534720067e-09,5.09949812885e-09,5.09306928964e-10,3.46265733242e-06,6.00144267082e-06,254.40625,69.625,5.58793544769e-08,-1.73225998878e-07,-9.48016531765e-05,-1.36424205266e-12,0,-2.32830643654e-09
11,0,1758,223200,1758,223200.000003353,0.0145670853089,5153.69619751,1.21271447456,-0.991093690985,2.50966126469,0.889643221691,-8.94787271481e-09,6.05275212142e-09,-3.49657421778e-10,-3.53902578354e-06,1.05649232864e-05,137.34375,-69.25,-6.89178705216e-08,3.53902578354e-07,-0.000420534051955,-3.41060513165e-12,0,-1.16415321827e-08
12,0,1758,223184,1758,223183.999999613,0.00452343875077,5153.75982284,0.33545560489,-1.53491491228,0.751590966301,0.985194059824,-8.21819945429e-09,4.45268533156e-09,5.66452162953e-10,4.67523932457e-06,5.01424074173e-06,297.0625,90.03125,5.77419996262e-08,-7.82310962677e-08,0.000156880822033,2.16004991671e-12,0,-1.16415321827e-08
13,0,1758,223184,1758,223183.999999613,0.00502125336789,5153.69862747,2.20084856524,1.10649458512,-1.273950543,0.979941742118,-8.05462122159e-09,4.23053336155e-09,-4.27517807833e-10,-3.12365591526e-06,6.64032995701e-06,260.75,-58.875,5.96046447754e-08,-5.21540641785e-08,7.90571793914e-05,-3.75166564481e-12,0,-1.07102096081e-08
14,0,1758,223200,1758,223200.000003353,0.00741467846092,5153.55060768,-2.00588192378,1.34332983522,-1.30401532501,0.972567918169,-8.27784507607e-09,4.52340254142e-09,-5.02878072517e-10,-3.45520675182e-06,6.32181763649e-06,262.84375,-66.4375,-1.15483999252e-07,-6.51925802231e-08,0.000215558800846,-9.09494701773e-13,0,-8.84756445885e-09
15,0,1758,223200,1758,223200.000003353,0.00554740079679,5153.55516815,0.155380948675,0.86780566128,-1.40770949517,0.939142165258,-8.6717895087e-09,5.3573661063e-09,-4.7037673756e-10,-2.91503965855e-06,5.06825745106e-06,268.625,-57.34375,5.40167093277e-08,1.22934579849e-07,-0.000137538649142,-1.81898940355e-12,0,-9.77888703346e-09
16,0,1758,223200,1758,223200.000003353,0.00706397625618,5153.70991325,0.138626288353,2.57249287936,0.770026393684,0.985844006531,-8.05533553706e-09,4.34553815196e-09,4.77162732886e-10,4.51877713203e-06,5.13531267643e-06,294.15625,86.3125,-2.03028321266e-07,4.09781932831e-08,-0.000246519688517,7.95807864051e-13,0,-9.77888703346e-09
17,0,1758,223200,1758,223200.000003353,0.0085205740761,5153.68041229,-2.19258541437,1.61666584229,1.80578724096,0.966069254239,-8.43463698885e-09,4.77555595069e-09,-4.69662420066e-10,-4.62122261524e-06,5.37745654583e-06,281.96875,-87.5,-2.73808836937e-07,3.72529029846e-09,-2.22194939852e-05,-3.75166564481e-12,0,-1.02445483208e-08
18,0,1758,223200,1758,223200.000003353,0.0145907683764,5153.63185883,-2.07879149771,3.12710299129,-2.42681986969,0.926898816599,-8.38356349479e-09,5.36665211403e-09,5.37522389965e-10,3.89665365219e-06,6.25848770142e-06,237.21875,76.71875,7.63684511185e-08,-2.10478901863e-07,0.000274583697319,2.04636307899e-12,0,-1.07102096081e-08
19,0,1758,223200,1758,223200.000003353,0.00953501148615,5153.74035644,0.382306400482,0.780093910637,1.85742657412,0.963296824059,-8.48749639544e-09,4.83984445609e-09,-5.50380068396e-10,-4.43868339062e-06,5.04404306412e-06,280.625,-88.84375,5.58793544769e-09,1.00582838059e-07,-0.000404826365411,-2.84217094304e-12,0,-1.44354999065e-08
